name;year;selling_price;km_driven;fuel;seller_type;transmission;owner
Maruti Wagon R LXI;2020;240000;120000;Petrol;Individual;Manual;First Owner
Chevrolet Enjoy 1.3 TCDi LS 8;2015;300000;175000;Diesel;Individual;Manual;First Owner
Chevrolet Spark 1.0 LS;2011;99000;100000;Petrol;Individual;Manual;Third Owner
Honda Brio E MT;2013;260000;70000;Petrol;Individual;Manual;Second Owner
Tata Indigo CR4;2011;150000;155500;Diesel;Individual;Manual;First Owner
Maruti Alto LXi;2012;175000;80000;Petrol;Individual;Manual;Third Owner
Chevrolet Beat LT;2011;120000;90000;Petrol;Individual;Manual;Second Owner
Hyundai Santro Xing XG;2006;70000;110000;Petrol;Individual;Manual;Third Owner
Maruti 800 AC;2007;95000;100000;Petrol;Individual;Manual;Second Owner
Maruti Alto K10 LXI CNG;2020;282000;40000;CNG;Individual;Manual;First Owner
Maruti 800 Std BSII;2004;80000;60000;Petrol;Individual;Manual;Second Owner
Tata Nano LX SE;2013;72000;25000;Petrol;Individual;Manual;First Owner
Maruti Alto LX;2009;150000;60000;Petrol;Individual;Manual;Second Owner
Hyundai i20 Asta;2009;280000;110000;Petrol;Individual;Manual;Second Owner
Maruti Zen D;2003;75000;100000;Diesel;Individual;Manual;Second Owner
Honda City 1.5 EXI;2005;100000;120000;Petrol;Individual;Manual;Second Owner
Maruti SX4 Zxi with Leather BSIII;2007;175000;78380;Petrol;Individual;Manual;First Owner
Ford Figo Diesel Titanium;2010;170000;90000;Diesel;Individual;Manual;Third Owner
Ford Figo Diesel Titanium;2011;190000;90000;Diesel;Individual;Manual;Third Owner
Maruti Swift Dzire VDi;2009;250000;150000;Diesel;Individual;Manual;Third Owner
Mahindra Xylo E4;2009;229999;230000;Diesel;Individual;Manual;Third Owner
Maruti Esteem Vxi - BSIII;2006;140000;70000;Petrol;Individual;Manual;Third Owner
Hyundai i20 1.2 Sportz;2012;280000;110000;Petrol;Individual;Manual;Third Owner
Chevrolet Beat Diesel LT;2012;150000;60000;Diesel;Individual;Manual;First Owner
Nissan Micra XL;2014;210000;40000;Petrol;Individual;Manual;Second Owner
Hyundai EON Era Plus Option;2014;265000;55000;Petrol;Dealer;Manual;First Owner
Hyundai EON Era Plus;2012;235000;54000;Petrol;Dealer;Manual;First Owner
Maruti Alto LX;2006;52000;120000;Petrol;Individual;Manual;Third Owner
Maruti Omni LPG CARGO BSIII W IMMOBILISER;2009;80000;90000;LPG;Individual;Manual;Second Owner
Maruti Alto LX;2012;140000;70000;Petrol;Individual;Manual;Second Owner
Hyundai Verna i (Petrol);2008;120000;90000;Petrol;Individual;Manual;Second Owner
Mahindra Renault Logan 1.5 DLS;2008;89999;213000;Diesel;Individual;Manual;First Owner
Chevrolet Optra Magnum 2.0 LS BSIII;2012;180000;120000;Diesel;Individual;Manual;First Owner
Maruti SX4 Celebration Diesel;2012;285000;80000;Diesel;Individual;Manual;Second Owner
Maruti Alto LXi BSIII;2008;125000;80000;Petrol;Individual;Manual;First Owner
Maruti SX4 Zxi with Leather BSIII;2008;225000;60000;Petrol;Individual;Manual;Second Owner
Hyundai i10 Era;2011;175000;139000;Petrol;Individual;Manual;Second Owner
Honda Mobilio V i DTEC;2014;300000;150000;Diesel;Individual;Manual;First Owner
Tata Indica V2 2001-2011 DLS BSIII;2009;90000;120000;Diesel;Dealer;Manual;First Owner
Tata Indica Vista TDI LS;2011;120000;120000;Diesel;Individual;Manual;Second Owner
Chevrolet Beat Diesel LS;2012;220000;100000;Diesel;Individual;Manual;Second Owner
Tata Zest Quadrajet 1.3 75PS XE;2015;300000;140000;Diesel;Dealer;Manual;First Owner
Skoda Fabia 1.2L Diesel Ambiente;2010;180000;87000;Diesel;Dealer;Manual;Second Owner
Maruti 800 Std;2013;170000;70000;Petrol;Individual;Manual;First Owner
Ford Figo Petrol Titanium;2015;300000;50000;Petrol;Individual;Manual;Second Owner
Honda Mobilio V i DTEC;2014;300000;150000;Diesel;Individual;Manual;First Owner
Chevrolet Beat Diesel LT;2011;130000;80000;Diesel;Individual;Manual;Second Owner
Maruti Omni MPI STD BSIV;2018;200000;10000;Petrol;Individual;Manual;First Owner
Ford Fiesta Classic 1.4 SXI Duratorq;2006;110000;120000;Diesel;Individual;Manual;Third Owner
Hyundai Santro Xing GL Plus;2013;290000;49000;Petrol;Individual;Manual;First Owner
Tata Sumo GX TC 7 Str BSIII;2006;115999;100000;Diesel;Individual;Manual;Second Owner
Maruti 800 AC;2002;65000;100000;Petrol;Individual;Manual;Second Owner
Honda Jazz S;2009;300000;50000;Petrol;Individual;Manual;First Owner
Tata Sumo SE Plus BSIII;2002;100000;120000;Diesel;Individual;Manual;First Owner
Mahindra Xylo E4;2010;160000;130000;Diesel;Individual;Manual;First Owner
Hyundai i20 1.4 Magna ABS;2009;180000;60000;Diesel;Individual;Manual;Second Owner
Maruti Alto LXi;2007;100000;195000;Petrol;Individual;Manual;First Owner
Maruti Alto LXi;2010;120000;90000;Petrol;Individual;Manual;Second Owner
Hyundai Getz GL;2006;130000;80000;Petrol;Individual;Manual;Third Owner
Maruti Wagon R LX BS IV;2011;160000;155000;Petrol;Individual;Manual;First Owner
Maruti Wagon R LXI Minor;2010;100000;80000;Petrol;Individual;Manual;Second Owner
Maruti Alto 800 VXI;2017;282000;20000;Petrol;Individual;Manual;First Owner
Hyundai i20 Asta (o);2009;300000;50000;Petrol;Individual;Manual;First Owner
Hyundai i20 Asta;2010;270000;110000;Petrol;Individual;Manual;Second Owner
Toyota Etios Liva G;2013;229999;50000;Petrol;Individual;Manual;Second Owner
Maruti Alto 800 LXI;2013;110000;50000;Petrol;Individual;Manual;First Owner
Hyundai EON Magna Plus;2018;229999;30000;Petrol;Individual;Manual;First Owner
Chevrolet Spark 1.0 LT;2012;125000;28000;Petrol;Individual;Manual;First Owner
Hyundai EON 1.0 Kappa Magna Plus;2015;160000;70000;Petrol;Individual;Manual;First Owner
Hyundai i10 Era;2009;250000;50000;Petrol;Individual;Manual;First Owner
Maruti Wagon R LXI;2005;80000;40000;Petrol;Individual;Manual;Second Owner
Chevrolet Beat Diesel LS;2011;106000;50000;Diesel;Individual;Manual;First Owner
Maruti A-Star Vxi;2009;180000;46730;Petrol;Individual;Manual;First Owner
Datsun GO A;2015;250000;40000;Petrol;Individual;Manual;Second Owner
Maruti Zen LXi BSII;2002;60000;80000;Petrol;Individual;Manual;Second Owner
Chevrolet Tavera Neo 3 10 Seats BSIV;2007;160000;120000;Diesel;Individual;Manual;Third Owner
Maruti Swift Vdi BSIII;2008;250000;120000;Diesel;Individual;Manual;Third Owner
Maruti Baleno Vxi;2006;80000;120000;Petrol;Individual;Manual;Third Owner
Tata Indica DLX;2003;50000;120000;Diesel;Individual;Manual;Second Owner
Maruti Wagon R VXI BS IV;2014;300000;35000;Petrol;Individual;Manual;Second Owner
Tata Indica LSI;2002;125000;40000;Petrol;Individual;Manual;First Owner
Toyota Etios Liva GD;2012;300000;50000;Diesel;Individual;Manual;Second Owner
Tata Nano STD;2013;55000;25000;Petrol;Individual;Manual;Fourth & Above Owner
Mahindra Bolero SLX;2006;229999;200000;Diesel;Individual;Manual;Third Owner
Chevrolet Beat Diesel PS;2012;159000;68000;Diesel;Dealer;Manual;First Owner
Tata Indigo CS Emax CNG GLX;2014;185000;72000;CNG;Dealer;Manual;First Owner
Maruti Eeco 5 STR With AC Plus HTR CNG;2012;229999;75000;CNG;Dealer;Manual;First Owner
Maruti Estilo LXI;2014;225000;43000;Petrol;Dealer;Manual;First Owner
Maruti Swift VXI with ABS;2007;250000;120000;Petrol;Individual;Manual;Second Owner
Maruti Alto K10 VXI AGS Optional;2018;300000;25000;Petrol;Individual;Automatic;First Owner
Maruti Alto LX;2011;145000;25000;Petrol;Individual;Manual;First Owner
Maruti SX4 Vxi BSIII;2007;100000;90000;Petrol;Individual;Manual;Second Owner
Hyundai Santro Xing GLS CNG;2010;130000;98000;CNG;Individual;Manual;Second Owner
Chevrolet Cruze LTZ;2010;240000;81925;Diesel;Individual;Manual;First Owner
Ford Figo Diesel Celebration Edition;2013;150000;80000;Diesel;Individual;Manual;Second Owner
Renault KWID RXT Optional;2017;270000;40000;Petrol;Individual;Manual;First Owner
Hyundai EON Era Plus;2012;200000;46000;Petrol;Individual;Manual;First Owner
Chevrolet Spark 1.0;2009;125000;70000;Petrol;Individual;Manual;First Owner
Maruti 800 AC;2000;60000;40000;Petrol;Individual;Manual;Third Owner
Chevrolet Tavera Neo 3 10 Seats BSIV;2010;300000;120000;Diesel;Individual;Manual;Third Owner
Ford Fiesta 1.6 ZXi Duratec;2007;190000;60000;Petrol;Individual;Manual;Third Owner
Tata Manza Aura Quadrajet BS IV;2011;260000;97000;Diesel;Individual;Manual;Second Owner
Hyundai i20 Sportz Petrol;2010;250000;40000;Petrol;Individual;Manual;First Owner
Maruti Zen Estilo VXI BSIV;2010;175000;52047;Petrol;Individual;Manual;First Owner
Maruti Swift VXI BSIII;2011;250000;70000;Petrol;Individual;Manual;Second Owner
Maruti Alto 800 LXI;2016;130000;40000;Petrol;Individual;Manual;First Owner
Maruti Wagon R LXI;2006;90000;62009;Petrol;Individual;Manual;Second Owner
Hyundai EON Era Plus;2014;190000;40000;Petrol;Individual;Manual;Second Owner
Hyundai Santro GLS I - Euro I;1999;50000;120000;Petrol;Individual;Manual;Second Owner
Maruti Wagon R LXI Minor;2007;95000;80000;Petrol;Individual;Manual;First Owner
Mahindra Scorpio REV 116;2006;220000;220000;Petrol;Individual;Manual;Second Owner
Maruti Alto LX;2007;70000;180000;Petrol;Individual;Manual;Third Owner
Maruti 800 AC;2007;105000;60000;Petrol;Individual;Manual;Second Owner
Maruti Wagon R LXI;2004;80000;60000;Petrol;Individual;Manual;Third Owner
Maruti Alto 800 VXI;2016;300000;30000;Petrol;Individual;Manual;First Owner
Maruti Swift Glam;2009;250000;70000;Petrol;Individual;Manual;First Owner
Tata New Safari DICOR 2.2 EX 4x2;2010;250000;120000;Diesel;Individual;Manual;Second Owner
Maruti Swift Dzire VDI;2012;215000;80000;Diesel;Individual;Manual;Third Owner
Chevrolet Spark 1.0 LS;2008;75000;35000;Petrol;Individual;Manual;Second Owner
Chevrolet Sail Hatchback LS ABS;2013;200000;120000;Diesel;Individual;Manual;Second Owner
Maruti Ritz VDi;2011;150000;40000;Diesel;Individual;Manual;Second Owner
Hyundai Verna 1.6 CRDI;2011;300000;127500;Diesel;Individual;Manual;Second Owner
Hyundai EON D Lite Plus;2015;235000;40903;Petrol;Dealer;Manual;First Owner
Ford Figo Petrol Titanium;2011;120000;60000;Petrol;Individual;Manual;Third Owner
Maruti Wagon R VXI;2004;130000;46000;Petrol;Individual;Manual;First Owner
Ford Endeavour 4x4 XLT;2004;275000;22288;Diesel;Dealer;Manual;Second Owner
Volkswagen Jetta 2.0 TDI Trendline;2011;270000;180000;Diesel;Individual;Manual;Second Owner
Ford Figo Diesel Titanium;2011;220000;70000;Diesel;Individual;Manual;Second Owner
Honda Brio E MT;2012;300000;85962;Petrol;Dealer;Manual;Second Owner
Maruti Omni E MPI STD BS IV;2018;250000;120000;Petrol;Individual;Manual;First Owner
Honda Brio S Option AT;2012;285000;75000;Petrol;Individual;Automatic;Second Owner
Mahindra Bolero SLX;2011;170000;70000;Diesel;Individual;Manual;Third Owner
Ford Figo 1.2P Ambiente MT;2015;229999;45000;Petrol;Individual;Manual;First Owner
Tata Nano Lx;2011;75000;15000;Petrol;Individual;Manual;First Owner
Tata Indigo LS Dicor;2011;220000;80000;Diesel;Individual;Manual;First Owner
Tata Indica Vista Terra 1.4 TDI;2009;150000;164000;Diesel;Individual;Manual;Second Owner
Maruti Alto LX;2006;65000;124439;Petrol;Individual;Manual;Second Owner
Maruti Zen VXI;2006;120000;77000;Petrol;Individual;Manual;Second Owner
Maruti Swift Dzire VDI;2014;240000;90000;Diesel;Individual;Manual;First Owner
Chevrolet Beat LS;2012;180000;50000;Petrol;Individual;Manual;First Owner
Maruti 800 AC BSII;2001;43000;100000;Petrol;Individual;Manual;Second Owner
Maruti Omni MPI STD BSIV;2018;250000;20000;Petrol;Individual;Manual;First Owner
Hyundai Verna CRDi;2008;195000;90000;Diesel;Individual;Manual;Second Owner
Chevrolet Beat LS;2011;225000;80000;Petrol;Individual;Manual;Second Owner
Tata Indica Vista Quadrajet LX;2011;133000;80000;Diesel;Individual;Manual;First Owner
Hyundai EON Era Plus;2013;200000;24005;Petrol;Individual;Manual;First Owner
Hyundai i10 Era 1.1;2009;120000;120000;Petrol;Individual;Manual;Second Owner
Maruti Swift 1.3 VXi;2005;110000;80000;Petrol;Individual;Manual;First Owner
Maruti Alto LX;2009;140000;120000;Petrol;Individual;Manual;Second Owner
Ford Figo Diesel ZXI;2011;175000;149000;Diesel;Individual;Manual;Second Owner
Maruti Wagon R LXI BSIII;2005;90000;65000;Petrol;Individual;Manual;Second Owner
Maruti Swift Ldi BSIV;2009;275000;100000;Diesel;Individual;Manual;Second Owner
Volkswagen Vento Diesel Highline;2011;300000;65000;Diesel;Individual;Manual;Second Owner
Datsun GO Plus T Option BSIV;2018;270000;19000;Petrol;Individual;Manual;Second Owner
Chevrolet Beat LT;2010;130000;80000;Petrol;Individual;Manual;Second Owner
Maruti Alto K10 VXI Airbag;2015;275000;30000;Petrol;Individual;Manual;First Owner
Hyundai EON LPG Magna Plus;2012;180000;90000;LPG;Individual;Manual;First Owner
Maruti Alto LX;2012;150000;90000;Petrol;Individual;Manual;First Owner
Volkswagen Vento Diesel Highline;2011;300000;65000;Diesel;Individual;Manual;Second Owner
Maruti Swift Vdi BSIII;2010;300000;110000;Diesel;Individual;Manual;Second Owner
Mahindra Bolero DI DX 7 Seater;2007;225000;120000;Diesel;Individual;Manual;First Owner
Hyundai i10 Era 1.1;2009;270000;27633;Petrol;Individual;Manual;First Owner
Hyundai Santro Xing GLS Audio LPG;2012;250000;100000;LPG;Individual;Manual;First Owner
Maruti Swift Ldi BSIII;2009;300000;217871;Diesel;Dealer;Manual;First Owner
Ford Ikon 1.3L Rocam Flair;2006;180000;91086;Petrol;Dealer;Manual;Second Owner
Maruti Ritz LDi;2013;280000;90000;Diesel;Individual;Manual;Third Owner
Mahindra Xylo D2;2009;225000;120000;Diesel;Individual;Manual;Second Owner
Tata Indigo Grand Dicor;2014;225000;120000;Diesel;Individual;Manual;First Owner
Maruti Swift VDI;2007;225000;50000;Diesel;Dealer;Manual;First Owner
Maruti Alto LX;2011;135000;50000;Petrol;Individual;Manual;First Owner
Maruti Wagon R LXI Minor;2007;140000;49000;Petrol;Dealer;Manual;First Owner
Renault KWID RXT;2015;275000;14365;Petrol;Dealer;Manual;First Owner
Hyundai EON Era Plus;2015;295000;21000;Petrol;Dealer;Manual;Second Owner
Maruti SX4 Vxi BSIV;2012;225000;110000;Petrol;Individual;Manual;Second Owner
Chevrolet Beat LT Option;2016;239000;41000;Petrol;Dealer;Manual;First Owner
Hyundai i10 Magna;2012;229999;49824;Petrol;Dealer;Manual;First Owner
Hyundai Santro GS;2005;80000;56580;Petrol;Dealer;Manual;First Owner
Maruti SX4 Vxi BSIV;2012;225000;110000;Petrol;Individual;Manual;Second Owner
Chevrolet Beat LT Option;2016;239000;41000;Petrol;Dealer;Manual;First Owner
Hyundai i10 Magna;2012;229999;49824;Petrol;Dealer;Manual;First Owner
Hyundai Santro GS;2005;80000;56580;Petrol;Dealer;Manual;First Owner
Maruti SX4 Vxi BSIV;2012;225000;110000;Petrol;Individual;Manual;Second Owner
Chevrolet Beat LT Option;2016;239000;41000;Petrol;Dealer;Manual;First Owner
Hyundai i10 Magna;2012;229999;49824;Petrol;Dealer;Manual;First Owner
Hyundai Santro GS;2005;80000;56580;Petrol;Dealer;Manual;First Owner
Maruti SX4 Vxi BSIV;2012;225000;110000;Petrol;Individual;Manual;Second Owner
Chevrolet Beat LT Option;2016;239000;41000;Petrol;Dealer;Manual;First Owner
Hyundai i10 Magna;2012;229999;49824;Petrol;Dealer;Manual;First Owner
Hyundai Santro GS;2005;80000;56580;Petrol;Dealer;Manual;First Owner
Maruti Alto 800 LXI;2014;114999;30000;Petrol;Individual;Manual;First Owner
Maruti Gypsy E MG410W ST;1995;95000;100000;Petrol;Individual;Manual;Second Owner
Chevrolet Beat LT;2012;200999;90000;Petrol;Individual;Manual;Second Owner
Maruti Omni E MPI STD BS IV;2014;229999;11451;Petrol;Individual;Manual;First Owner
Mahindra Verito 1.5 D4 BSIV;2012;150000;172000;Diesel;Individual;Manual;Second Owner
Chevrolet Tavera LS B3 7 Seats BSII;2005;150000;150000;Diesel;Individual;Manual;First Owner
Chevrolet Optra Magnum 2.0 LS;2009;150000;66000;Diesel;Individual;Manual;First Owner
Maruti Swift 1.3 VXi;2006;80000;66508;Petrol;Individual;Manual;Second Owner
Honda Civic 1.8 MT Sport;2007;225000;55000;Petrol;Individual;Manual;Second Owner
Tata Nano Lx BSIV;2012;75000;29900;Petrol;Individual;Manual;First Owner
Tata Indica Vista Quadrajet VX;2012;185000;85000;Diesel;Individual;Manual;First Owner
Tata Indica Vista Aqua 1.4 TDI;2010;100000;120000;Diesel;Individual;Manual;Second Owner
Maruti Zen Estilo LXI BSIII;2008;140000;90000;Petrol;Individual;Manual;Third Owner
Datsun RediGO T Option;2017;210000;50000;Petrol;Individual;Manual;First Owner
Maruti Alto K10 VXI;2016;270000;25000;Petrol;Individual;Manual;First Owner
Maruti Alto LXi;2009;110000;20000;Petrol;Individual;Manual;First Owner
Mahindra Renault Logan 1.4 GLX Petrol;2008;145000;25000;Petrol;Individual;Manual;First Owner
Hyundai i10 Magna LPG;2013;250000;88600;LPG;Individual;Manual;First Owner
Tata Venture EX;2012;110000;80000;Diesel;Individual;Manual;First Owner
Chevrolet Captiva LT;2008;250000;100000;Diesel;Individual;Manual;Fourth & Above Owner
Ford Fiesta Classic 1.4 Duratorq CLXI;2011;150000;186000;Diesel;Individual;Manual;Second Owner
Chevrolet Aveo U-VA 1.2 LS;2010;140000;60000;Petrol;Individual;Manual;First Owner
Hyundai Santro Xing GL PLUS CNG;2007;90000;80000;CNG;Individual;Manual;Third Owner
Hyundai Santro GLS I - Euro I;2001;55000;60000;Petrol;Individual;Manual;Third Owner
Hyundai Verna CRDi;2007;155000;100000;Diesel;Individual;Manual;Fourth & Above Owner
Maruti Alto K10 2010-2014 VXI;2011;135000;90000;Petrol;Individual;Manual;First Owner
Maruti 800 AC;2012;180000;120000;Petrol;Individual;Manual;First Owner
Hyundai Verna CRDi;2008;250000;110000;Diesel;Individual;Manual;Second Owner
Maruti Alto K10 LXI;2015;138000;120000;Petrol;Individual;Manual;Fourth & Above Owner
Maruti Alto 800 VXI;2015;190000;70000;Petrol;Individual;Manual;First Owner
Maruti Ritz LXI;2009;300000;15000;Petrol;Individual;Manual;First Owner
Maruti Alto 800 VXI;2018;195000;5000;Petrol;Individual;Manual;First Owner
Tata Nano LX;2013;58000;27974;Petrol;Individual;Manual;First Owner
Maruti Alto 800 VXI;2018;183000;40000;Petrol;Individual;Manual;First Owner
Maruti Zen Estilo 1.1 VXI BSIII;2007;95000;80000;Petrol;Individual;Manual;First Owner
Maruti Wagon R LX Minor;2013;250000;38000;Petrol;Individual;Manual;First Owner
Maruti Wagon R LX Minor;2013;250000;38000;Petrol;Individual;Manual;First Owner
Skoda Octavia Classic 1.9 TDI MT;2004;120000;120000;Diesel;Individual;Manual;Second Owner
Chevrolet Beat LS;2011;160000;60000;Petrol;Individual;Manual;First Owner
Maruti Alto LX;2011;114999;60000;Petrol;Individual;Manual;Third Owner
Maruti Wagon R LXI Minor;2009;150000;53000;Petrol;Individual;Manual;First Owner
Volkswagen Jetta 1.9 L TDI;2010;250000;100000;Diesel;Dealer;Manual;First Owner
Hyundai i20 1.2 Sportz;2011;250000;120000;Petrol;Individual;Manual;First Owner
Hyundai Santro Xing GL Plus LPG;2011;229999;60000;LPG;Individual;Manual;Second Owner
Maruti Ritz LDi;2016;299000;50000;Diesel;Individual;Manual;Second Owner
Hyundai Accent Executive;2012;180000;100000;Petrol;Individual;Manual;Third Owner
Toyota Etios V;2011;275000;51687;Petrol;Dealer;Manual;First Owner
Volkswagen Vento Petrol Highline AT;2011;269000;76259;Petrol;Dealer;Automatic;First Owner
Toyota Etios V;2011;249000;41125;Petrol;Dealer;Manual;First Owner
Volkswagen Polo Petrol Highline 1.2L;2011;254999;54206;Petrol;Dealer;Manual;First Owner
Skoda Rapid 1.6 MPI Active;2012;269000;52547;Petrol;Dealer;Manual;First Owner
Maruti Wagon R Stingray LXI;2014;299000;54565;Petrol;Dealer;Manual;First Owner
Hyundai i20 Asta;2010;265000;47564;Petrol;Dealer;Manual;Second Owner
Volkswagen Polo Petrol Highline 1.2L;2010;211000;45143;Petrol;Dealer;Manual;Second Owner
Tata Indigo LS;2007;55000;195000;Diesel;Individual;Manual;Third Owner
Tata Sumo GX TC 8 Str;2010;220000;120000;Diesel;Individual;Manual;Second Owner
Maruti Alto LXi;2010;140000;30000;Petrol;Individual;Manual;First Owner
Hyundai i20 Magna;2010;210000;90000;Petrol;Individual;Manual;Third Owner
Maruti Alto LXi;2008;110000;90000;Petrol;Individual;Manual;Second Owner
Maruti Alto 800 VXI;2017;229999;40000;Petrol;Individual;Manual;First Owner
Maruti SX4 Vxi BSIV;2012;225000;110000;Petrol;Individual;Manual;Second Owner
Maruti Alto 800 LXI;2006;165000;132000;Petrol;Individual;Manual;First Owner
Maruti 800 Std;2003;98000;54000;Petrol;Individual;Manual;First Owner
Hyundai EON Magna Plus;2016;220000;43700;Petrol;Individual;Manual;First Owner
Tata Indica GLS BS IV;2009;68000;120000;Petrol;Individual;Manual;Second Owner
Hyundai EON Era Plus;2017;290000;20000;Petrol;Individual;Manual;First Owner
Hyundai i10 Sportz 1.2;2008;150000;30000;Petrol;Individual;Manual;First Owner
Maruti Alto 800 LXI;2014;180000;56207;Petrol;Dealer;Manual;Second Owner
Maruti Zen LXI;2006;80000;70000;Petrol;Individual;Manual;First Owner
Maruti Alto 800 LXI;2019;300000;50000;Petrol;Individual;Manual;First Owner
Volkswagen Polo 1.5 TDI Trendline;2011;220000;63657;Diesel;Dealer;Manual;First Owner
Mahindra Verito Vibe 1.5 dCi D4;2013;250000;60000;Diesel;Individual;Manual;First Owner
Maruti SX4 ZDI;2011;220000;90000;Diesel;Individual;Manual;Third Owner
