name;year;selling_price;km_driven;fuel;seller_type;transmission;owner
Chevrolet Spark 1.0 LS;2011;60000;100000;Petrol;Individual;Manual;Third Owner
Honda Brio E MT;2013;60000;70000;Petrol;Individual;Manual;Second Owner
Tata Indigo CR4;2011;60000;155500;Diesel;Individual;Manual;First Owner
Maruti Alto LXi;2012;60000;80000;Petrol;Individual;Manual;Third Owner
Chevrolet Beat LT;2011;60000;90000;Petrol;Individual;Manual;Second Owner
Hyundai Santro Xing XG;2006;60000;110000;Petrol;Individual;Manual;Third Owner
Maruti 800 AC;2007;60000;100000;Petrol;Individual;Manual;Second Owner
Maruti Alto K10 LXI CNG;2020;60000;40000;CNG;Individual;Manual;First Owner
Maruti 800 Std BSII;2004;60000;60000;Petrol;Individual;Manual;Second Owner
Tata Nano LX SE;2013;60000;25000;Petrol;Individual;Manual;First Owner
Maruti Alto LX;2009;60000;60000;Petrol;Individual;Manual;Second Owner
Hyundai i20 Asta;2009;60000;110000;Petrol;Individual;Manual;Second Owner
Maruti Zen D;2003;60000;100000;Diesel;Individual;Manual;Second Owner
Honda City 1.5 EXI;2005;60000;120000;Petrol;Individual;Manual;Second Owner
Maruti SX4 Zxi with Leather BSIII;2007;60000;78380;Petrol;Individual;Manual;First Owner
Ford Figo Diesel Titanium;2010;60000;90000;Diesel;Individual;Manual;Third Owner
Ford Figo Diesel Titanium;2011;60000;90000;Diesel;Individual;Manual;Third Owner
Maruti 800 Std;2013;70000;70000;Petrol;Individual;Manual;First Owner
Ford Figo Petrol Titanium;2015;70000;50000;Petrol;Individual;Manual;Second Owner
Honda Mobilio V i DTEC;2014;70000;150000;Diesel;Individual;Manual;First Owner
Chevrolet Beat Diesel LT;2011;70000;80000;Diesel;Individual;Manual;Second Owner
Maruti Omni MPI STD BSIV;2018;70000;10000;Petrol;Individual;Manual;First Owner
Ford Fiesta Classic 1.4 SXI Duratorq;2006;70000;120000;Diesel;Individual;Manual;Third Owner
Hyundai Santro Xing GL Plus;2013;70000;49000;Petrol;Individual;Manual;First Owner
Tata Sumo GX TC 7 Str BSIII;2006;70000;100000;Diesel;Individual;Manual;Second Owner
Maruti 800 AC;2002;70000;100000;Petrol;Individual;Manual;Second Owner
Honda Jazz S;2009;70000;50000;Petrol;Individual;Manual;First Owner
Tata Sumo SE Plus BSIII;2002;70000;120000;Diesel;Individual;Manual;First Owner
Mahindra Xylo E4;2010;70000;130000;Diesel;Individual;Manual;First Owner
Hyundai i20 1.4 Magna ABS;2009;70000;60000;Diesel;Individual;Manual;Second Owner
Maruti Alto LXi;2007;70000;195000;Petrol;Individual;Manual;First Owner
Maruti Alto LXi;2010;70000;90000;Petrol;Individual;Manual;Second Owner
Hyundai Getz GL;2006;70000;80000;Petrol;Individual;Manual;Third Owner
Maruti Wagon R LX BS IV;2011;70000;155000;Petrol;Individual;Manual;First Owner
Maruti Wagon R LXI Minor;2010;70000;80000;Petrol;Individual;Manual;Second Owner
Maruti Alto 800 VXI;2017;70000;20000;Petrol;Individual;Manual;First Owner
Hyundai i20 Asta (o);2009;70000;50000;Petrol;Individual;Manual;First Owner
Hyundai i20 Asta;2010;70000;110000;Petrol;Individual;Manual;Second Owner
Toyota Etios Liva G;2013;70000;50000;Petrol;Individual;Manual;Second Owner
Maruti Alto 800 LXI;2013;70000;50000;Petrol;Individual;Manual;First Owner
Hyundai EON Magna Plus;2018;70000;30000;Petrol;Individual;Manual;First Owner
Chevrolet Spark 1.0 LT;2012;70000;28000;Petrol;Individual;Manual;First Owner
Hyundai EON 1.0 Kappa Magna Plus;2015;70000;70000;Petrol;Individual;Manual;First Owner
Hyundai i10 Era;2009;70000;50000;Petrol;Individual;Manual;First Owner
Maruti Wagon R LXI;2005;70000;40000;Petrol;Individual;Manual;Second Owner
Chevrolet Beat Diesel LS;2011;70000;50000;Diesel;Individual;Manual;First Owner
Maruti A-Star Vxi;2009;70000;46730;Petrol;Individual;Manual;First Owner
Datsun GO A;2015;70000;40000;Petrol;Individual;Manual;Second Owner
Maruti Zen LXi BSII;2002;70000;80000;Petrol;Individual;Manual;Second Owner
Chevrolet Tavera Neo 3 10 Seats BSIV;2007;70000;120000;Diesel;Individual;Manual;Third Owner
Chevrolet Spark 1.0 LS;2008;80000;35000;Petrol;Individual;Manual;Second Owner
Chevrolet Sail Hatchback LS ABS;2013;80000;120000;Diesel;Individual;Manual;Second Owner
Maruti Ritz VDi;2011;80000;40000;Diesel;Individual;Manual;Second Owner
Hyundai Verna 1.6 CRDI;2011;80000;127500;Diesel;Individual;Manual;Second Owner
Hyundai EON D Lite Plus;2015;80000;40903;Petrol;Dealer;Manual;First Owner
Ford Figo Petrol Titanium;2011;80000;60000;Petrol;Individual;Manual;Third Owner
Maruti Wagon R VXI;2004;80000;46000;Petrol;Individual;Manual;First Owner
Ford Endeavour 4x4 XLT;2004;80000;22288;Diesel;Dealer;Manual;Second Owner
Volkswagen Jetta 2.0 TDI Trendline;2011;80000;180000;Diesel;Individual;Manual;Second Owner
Ford Figo Diesel Titanium;2011;80000;70000;Diesel;Individual;Manual;Second Owner
Honda Brio E MT;2012;80000;85962;Petrol;Dealer;Manual;Second Owner
Maruti Omni E MPI STD BS IV;2018;80000;120000;Petrol;Individual;Manual;First Owner
Honda Brio S Option AT;2012;80000;75000;Petrol;Individual;Automatic;Second Owner
Mahindra Bolero SLX;2011;80000;70000;Diesel;Individual;Manual;Third Owner
Ford Figo 1.2P Ambiente MT;2015;80000;45000;Petrol;Individual;Manual;First Owner
Tata Nano Lx;2011;80000;15000;Petrol;Individual;Manual;First Owner
Tata Indigo LS Dicor;2011;80000;80000;Diesel;Individual;Manual;First Owner
Tata Indica Vista Terra 1.4 TDI;2009;80000;164000;Diesel;Individual;Manual;Second Owner
Maruti Alto LX;2006;80000;124439;Petrol;Individual;Manual;Second Owner
Maruti Zen VXI;2006;80000;77000;Petrol;Individual;Manual;Second Owner
Maruti Swift Dzire VDI;2014;80000;90000;Diesel;Individual;Manual;First Owner
Chevrolet Beat LS;2012;80000;50000;Petrol;Individual;Manual;First Owner
Maruti 800 AC BSII;2001;80000;100000;Petrol;Individual;Manual;Second Owner
Maruti Omni MPI STD BSIV;2018;80000;20000;Petrol;Individual;Manual;First Owner
Hyundai Verna CRDi;2008;80000;90000;Diesel;Individual;Manual;Second Owner
Chevrolet Beat LS;2011;80000;80000;Petrol;Individual;Manual;Second Owner
Tata Indica Vista Quadrajet LX;2011;80000;80000;Diesel;Individual;Manual;First Owner
Hyundai EON Era Plus;2013;80000;24005;Petrol;Individual;Manual;First Owner
Hyundai i10 Era 1.1;2009;80000;120000;Petrol;Individual;Manual;Second Owner
Maruti Swift 1.3 VXi;2005;80000;80000;Petrol;Individual;Manual;First Owner
Maruti Alto LX;2009;80000;120000;Petrol;Individual;Manual;Second Owner
Ford Figo Diesel ZXI;2011;80000;149000;Diesel;Individual;Manual;Second Owner
Maruti Wagon R LXI BSIII;2005;80000;65000;Petrol;Individual;Manual;Second Owner
Maruti Swift Ldi BSIV;2009;80000;100000;Diesel;Individual;Manual;Second Owner
Volkswagen Vento Diesel Highline;2011;80000;65000;Diesel;Individual;Manual;Second Owner
Datsun GO Plus T Option BSIV;2018;80000;19000;Petrol;Individual;Manual;Second Owner
Chevrolet Beat LT;2010;80000;80000;Petrol;Individual;Manual;Second Owner
Maruti Alto K10 VXI Airbag;2015;80000;30000;Petrol;Individual;Manual;First Owner
Hyundai EON LPG Magna Plus;2012;80000;90000;LPG;Individual;Manual;First Owner
Maruti Alto LX;2012;80000;90000;Petrol;Individual;Manual;First Owner
Volkswagen Vento Diesel Highline;2011;80000;65000;Diesel;Individual;Manual;Second Owner
Maruti Swift Vdi BSIII;2010;80000;110000;Diesel;Individual;Manual;Second Owner
Mahindra Bolero DI DX 7 Seater;2007;80000;120000;Diesel;Individual;Manual;First Owner
Hyundai i10 Era 1.1;2009;80000;27633;Petrol;Individual;Manual;First Owner
Hyundai Santro Xing GLS Audio LPG;2012;80000;100000;LPG;Individual;Manual;First Owner
Maruti Swift Ldi BSIII;2009;80000;217871;Diesel;Dealer;Manual;First Owner
Ford Ikon 1.3L Rocam Flair;2006;80000;91086;Petrol;Dealer;Manual;Second Owner
Maruti Ritz LDi;2013;80000;90000;Diesel;Individual;Manual;Third Owner
Mahindra Xylo D2;2009;80000;120000;Diesel;Individual;Manual;Second Owner
Tata Indigo Grand Dicor;2014;80000;120000;Diesel;Individual;Manual;First Owner
Maruti Swift VDI;2007;80000;50000;Diesel;Dealer;Manual;First Owner
Maruti Alto LX;2011;80000;50000;Petrol;Individual;Manual;First Owner
Maruti Wagon R LXI Minor;2007;80000;49000;Petrol;Dealer;Manual;First Owner
Renault KWID RXT;2015;80000;14365;Petrol;Dealer;Manual;First Owner
Tata Indica Vista Quadrajet VX;2012;90000;85000;Diesel;Individual;Manual;First Owner
Tata Indica Vista Aqua 1.4 TDI;2010;90000;120000;Diesel;Individual;Manual;Second Owner
Maruti Zen Estilo LXI BSIII;2008;90000;90000;Petrol;Individual;Manual;Third Owner
Datsun RediGO T Option;2017;90000;50000;Petrol;Individual;Manual;First Owner
Maruti Alto K10 VXI;2016;90000;25000;Petrol;Individual;Manual;First Owner
Maruti Alto LXi;2009;90000;20000;Petrol;Individual;Manual;First Owner
Mahindra Renault Logan 1.4 GLX Petrol;2008;90000;25000;Petrol;Individual;Manual;First Owner
Hyundai i10 Magna LPG;2013;90000;88600;LPG;Individual;Manual;First Owner
Tata Venture EX;2012;90000;80000;Diesel;Individual;Manual;First Owner
Chevrolet Captiva LT;2008;90000;100000;Diesel;Individual;Manual;Fourth & Above Owner
Ford Fiesta Classic 1.4 Duratorq CLXI;2011;90000;186000;Diesel;Individual;Manual;Second Owner
Chevrolet Aveo U-VA 1.2 LS;2010;90000;60000;Petrol;Individual;Manual;First Owner
Hyundai Santro Xing GL PLUS CNG;2007;90000;80000;CNG;Individual;Manual;Third Owner
Hyundai Santro GLS I - Euro I;2001;90000;60000;Petrol;Individual;Manual;Third Owner
Hyundai Verna CRDi;2007;90000;100000;Diesel;Individual;Manual;Fourth & Above Owner
Maruti Alto K10 2010-2014 VXI;2011;90000;90000;Petrol;Individual;Manual;First Owner
Maruti 800 AC;2012;90000;120000;Petrol;Individual;Manual;First Owner
Hyundai Verna CRDi;2008;90000;110000;Diesel;Individual;Manual;Second Owner
Maruti Alto K10 LXI;2015;90000;120000;Petrol;Individual;Manual;Fourth & Above Owner
Maruti Alto 800 VXI;2015;90000;70000;Petrol;Individual;Manual;First Owner
Maruti Ritz LXI;2009;90000;15000;Petrol;Individual;Manual;First Owner
Maruti Alto 800 VXI;2018;90000;5000;Petrol;Individual;Manual;First Owner
Tata Nano LX;2013;90000;27974;Petrol;Individual;Manual;First Owner
Maruti Alto 800 VXI;2018;90000;40000;Petrol;Individual;Manual;First Owner
Maruti Alto 800 LXI;2019;100000;50000;Petrol;Individual;Manual;First Owner
Volkswagen Polo 1.5 TDI Trendline;2011;100000;63657;Diesel;Dealer;Manual;First Owner
Mahindra Verito Vibe 1.5 dCi D4;2013;100000;60000;Diesel;Individual;Manual;First Owner
Maruti SX4 ZDI;2011;100000;90000;Diesel;Individual;Manual;Third Owner
Fiat Grande Punto 1.3 Dynamic (Diesel);2012;100000;100000;Diesel;Individual;Manual;Second Owner
Maruti SX4 Vxi BSIV;2012;100000;100000;Petrol;Individual;Manual;Second Owner
Maruti Wagon R Stingray VXI;2014;100000;75000;Petrol;Individual;Manual;First Owner
Mahindra Quanto C8;2013;100000;25000;Diesel;Individual;Manual;Second Owner
Maruti Wagon R LXI;2011;100000;28481;Petrol;Dealer;Manual;First Owner
Maruti Wagon R LXI;2009;100000;30375;Petrol;Dealer;Manual;First Owner
Hyundai EON 1.0 Era Plus;2012;100000;48000;Petrol;Dealer;Manual;First Owner
Maruti Wagon R AMT VXI;2014;100000;28942;Petrol;Dealer;Automatic;First Owner
Toyota Innova 2.5 G4 Diesel 8-seater;2007;100000;80000;Diesel;Individual;Manual;Second Owner
Maruti Alto 800 VXI;2017;100000;50000;Petrol;Individual;Manual;First Owner
Chevrolet Spark 1.0;2008;100000;100000;Petrol;Individual;Manual;Third Owner
Renault KWID RXL;2016;100000;60000;Petrol;Individual;Manual;Third Owner
Fiat Palio D 1.9 EL PS;2003;100000;35000;Diesel;Individual;Manual;Second Owner
Hyundai EON Magna Plus;2013;100000;205000;Petrol;Individual;Manual;First Owner
Hyundai Verna 1.6 CRDI;2011;100000;125000;Diesel;Individual;Manual;Third Owner
Maruti Alto 800 CNG LXI;2012;100000;97000;CNG;Individual;Manual;Second Owner
Maruti Swift Dzire VXi;2009;100000;60000;Petrol;Individual;Manual;Third Owner
Tata Indigo CR4;2013;100000;60000;Diesel;Individual;Manual;First Owner
Tata Nano Lx;2011;100000;20000;Petrol;Individual;Manual;First Owner
Tata Nano Lx;2011;100000;20000;Petrol;Individual;Manual;First Owner
Ford Figo Petrol Titanium;2010;100000;70000;Petrol;Individual;Manual;First Owner
Tata Zest Revotron 1.2T XE;2016;100000;90000;Petrol;Individual;Manual;First Owner
Tata New Safari DICOR 2.2 EX 4x4;2009;100000;120000;Diesel;Individual;Manual;Second Owner
Maruti Omni MPI STD BSIV;2018;100000;10000;Petrol;Individual;Manual;First Owner
Hyundai i20 Asta 1.4 CRDi (Diesel);2009;100000;72000;Diesel;Individual;Manual;Second Owner
Maruti Zen LXI;1999;100000;70000;Petrol;Individual;Manual;Second Owner
Hyundai Santro LP zipPlus;2001;100000;50000;Petrol;Individual;Manual;Third Owner
Tata Nano LX;2013;100000;40000;Petrol;Individual;Manual;First Owner
Hyundai Getz 1.3 GVS;2010;100000;110000;Petrol;Individual;Manual;First Owner
Hyundai Santro Xing GL Plus;2013;100000;80000;Petrol;Individual;Manual;First Owner
Hyundai Accent GLE CNG;2009;100000;70000;CNG;Individual;Manual;Third Owner
Maruti Zen Estilo LXI BSIII;2007;100000;80000;Petrol;Individual;Manual;Third Owner
Hyundai i10 Magna 1.1;2008;100000;90000;Petrol;Individual;Manual;Third Owner
Hyundai Santro Xing GLS;2009;100000;120000;Petrol;Individual;Manual;First Owner
Hyundai Santro Xing GLS;2009;100000;120000;Petrol;Individual;Manual;First Owner
Tata Indigo CR4;2011;100000;90000;Diesel;Individual;Manual;First Owner
Maruti Alto 800 LXI;2017;100000;50000;Petrol;Individual;Manual;First Owner
Maruti Alto 800 LXI;2016;100000;60000;Petrol;Individual;Manual;First Owner
Tata Nano Std;2011;100000;19000;Petrol;Individual;Manual;First Owner
Chevrolet Tavera LT L1 7 Seats BSIII;2006;100000;200000;Diesel;Individual;Manual;Third Owner
Mahindra Verito 1.5 D2 BSIV;2015;100000;70000;Diesel;Individual;Manual;Second Owner
Maruti Swift VDI;2011;100000;50000;Diesel;Individual;Manual;Second Owner
Maruti Alto LX;2012;100000;19077;Petrol;Individual;Manual;Second Owner
Hyundai EON D Lite;2016;100000;30000;Petrol;Individual;Manual;First Owner
Maruti Alto LXi;2009;100000;80000;Petrol;Individual;Manual;Second Owner
Hyundai EON 1.0 Era Plus;2018;100000;21302;Petrol;Individual;Manual;First Owner
Renault KWID 1.0 RXT Optional;2018;100000;10500;Petrol;Individual;Manual;First Owner
Hyundai i10 Sportz 1.2;2010;100000;60000;Petrol;Individual;Manual;Second Owner
Hyundai Santro Xing XG eRLX Euro III;2006;100000;120000;Petrol;Individual;Manual;Second Owner
Maruti Wagon R LXI BS IV;2010;100000;70000;Petrol;Individual;Manual;First Owner
Maruti Alto 800 LXI;2015;100000;50000;Petrol;Individual;Manual;Second Owner
Maruti SX4 Vxi BSIV;2012;100000;110000;Petrol;Individual;Manual;Second Owner
Chevrolet Beat LT Option;2016;100000;41000;Petrol;Dealer;Manual;First Owner
Hyundai i10 Magna;2012;100000;49824;Petrol;Dealer;Manual;First Owner
Hyundai Santro GS;2005;100000;56580;Petrol;Dealer;Manual;First Owner
Mahindra Renault Logan 1.4 GLX Petrol;2008;110000;90000;Petrol;Individual;Manual;First Owner
Chevrolet Sail Hatchback 1.3 TCDi LT ABS;2014;110000;120000;Diesel;Individual;Manual;First Owner
Hyundai Accent CRDi;2005;110000;120000;Diesel;Individual;Manual;Second Owner
Hyundai Santro Xing XG;2005;110000;120000;Petrol;Individual;Manual;Second Owner
Hyundai EON Magna Plus;2014;110000;42000;Petrol;Individual;Manual;First Owner
Tata Indica Vista TDI LS;2014;110000;25000;Diesel;Individual;Manual;First Owner
Maruti Alto 800 LXI;2014;110000;20000;Petrol;Individual;Manual;First Owner
Hyundai i10 Era 1.1 iTech SE;2011;110000;110000;Petrol;Individual;Manual;Second Owner
Hyundai Santro Xing GLS;2014;110000;50000;Petrol;Individual;Manual;Second Owner
Tata Indica LSI;2006;110000;60000;Petrol;Individual;Manual;Second Owner
Hyundai EON Era Plus;2012;110000;70000;Petrol;Individual;Manual;Third Owner
Hyundai Santro LE zipPlus;2001;110000;70000;Petrol;Individual;Manual;First Owner
Tata Indigo CR4;2013;110000;60000;Diesel;Individual;Manual;First Owner
Maruti Ritz LXI;2009;110000;15000;Petrol;Individual;Manual;First Owner
Maruti Alto LX;2007;110000;52000;Petrol;Individual;Manual;Second Owner
Tata Nano Lx;2011;110000;20000;Petrol;Individual;Manual;First Owner
Hyundai i20 Asta 1.4 CRDi;2013;110000;90000;Diesel;Individual;Manual;First Owner
Tata Indigo LX;2011;110000;60000;Diesel;Individual;Manual;Second Owner
Tata Nano Lx;2011;110000;20000;Petrol;Individual;Manual;First Owner
Maruti Alto LX;2009;110000;60000;Petrol;Individual;Manual;Second Owner
Ford Fiesta 1.5 TDCi Titanium;2011;110000;133564;Diesel;Dealer;Manual;First Owner
Chevrolet Beat Diesel LS;2011;110000;70000;Diesel;Individual;Manual;First Owner
Chevrolet Beat LT Option;2016;110000;41000;Petrol;Dealer;Manual;First Owner
Hyundai i10 Magna;2012;110000;49824;Petrol;Dealer;Manual;First Owner
Hyundai i20 1.4 Magna Executive;2013;110000;52000;Diesel;Dealer;Manual;First Owner
Mahindra Verito 1.5 D4 BSIV;2015;110000;90000;Diesel;Individual;Manual;First Owner
Maruti Eeco 7 Seater Standard BSIV;2018;110000;20000;Petrol;Individual;Manual;First Owner
Hyundai EON 1.0 Era Plus;2017;110000;28838;Petrol;Individual;Manual;First Owner
Tata Indica GLS BS IV;2008;110000;200000;Petrol;Individual;Manual;First Owner
Tata Indica DLS;2006;110000;100000;Diesel;Individual;Manual;First Owner
Maruti Alto 800 LXI Airbag;2014;110000;50000;Petrol;Individual;Manual;First Owner
Mahindra Bolero SLX 2WD;2010;110000;190000;Diesel;Individual;Manual;Fourth & Above Owner
Mahindra Jeep MM 540;2007;110000;100000;Diesel;Individual;Manual;Second Owner
Chevrolet Beat Diesel LS;2012;110000;50000;Diesel;Individual;Manual;First Owner
Maruti Swift LXI;2011;110000;70000;Petrol;Individual;Manual;First Owner
Maruti Alto 800 VXI;2016;110000;60000;Petrol;Individual;Manual;First Owner
Maruti Zen Estilo Sports;2008;110000;120000;Petrol;Individual;Manual;First Owner
Hyundai Santro Xing XL eRLX Euro III;2005;110000;90000;Petrol;Dealer;Manual;Second Owner
Hyundai EON Magna Plus;2015;110000;30000;Petrol;Individual;Manual;First Owner
Tata Indica DLE;2005;110000;100000;Diesel;Individual;Manual;First Owner
Tata Indica DLS;2006;110000;300000;Diesel;Individual;Manual;Second Owner
Tata Indigo LX;2009;110000;110000;Diesel;Individual;Manual;Third Owner
Maruti Omni MPI STD BSIV;2016;110000;120000;Petrol;Individual;Manual;First Owner
Volkswagen Polo Diesel Trendline 1.2L;2010;120000;144000;Diesel;Individual;Manual;Fourth & Above Owner
Maruti Eeco 5 Seater AC BSIV;2017;120000;30000;Petrol;Dealer;Manual;First Owner
Hyundai Verna SX;2007;120000;65000;Petrol;Dealer;Manual;First Owner
Maruti SX4 Celebration Petrol;2012;120000;90000;Petrol;Individual;Manual;Second Owner
Maruti Alto 800 LXI;2018;120000;30000;Petrol;Dealer;Manual;First Owner
Hyundai i10 Magna;2012;120000;40000;Petrol;Dealer;Manual;First Owner
Hyundai EON Magna Plus;2015;120000;32000;Petrol;Dealer;Manual;First Owner
Maruti Alto LX;2011;120000;36000;Petrol;Dealer;Manual;First Owner
Maruti Alto LX;2004;120000;60000;Petrol;Individual;Manual;First Owner
Maruti Wagon R VXI BSIII;2006;120000;60000;Petrol;Individual;Manual;Second Owner
Tata Indica Vista Aura Plus 1.3 Quadrajet;2012;120000;70000;Diesel;Individual;Manual;Second Owner
Maruti Swift Dzire Vdi BSIV;2011;120000;90000;Diesel;Individual;Manual;Fourth & Above Owner
Maruti Wagon R VXI BSIII;2004;120000;80000;Petrol;Individual;Manual;Second Owner
Maruti Swift 1.3 VXi;2006;120000;45000;Petrol;Individual;Manual;First Owner
Maruti Zen LXI;2005;120000;90000;Petrol;Individual;Manual;Second Owner
Maruti Wagon R LXI Minor;2007;120000;120000;Petrol;Individual;Manual;Second Owner
Hyundai EON D Lite Plus;2013;120000;13500;Petrol;Individual;Manual;First Owner
Maruti SX4 Celebration Diesel;2012;120000;120000;Diesel;Individual;Manual;First Owner
Volkswagen Polo Diesel Comfortline 1.2L;2012;120000;120000;Diesel;Individual;Manual;First Owner
Maruti Alto LXi;2009;120000;90246;Petrol;Individual;Manual;Third Owner
Maruti Alto LX BSIII;2008;120000;90000;Petrol;Individual;Manual;Second Owner
Maruti Alto LXi BSIII;2010;120000;40000;Petrol;Individual;Manual;Second Owner
Maruti Gypsy King Hard Top;2000;120000;60000;Petrol;Individual;Manual;Fourth & Above Owner
Tata Manza Club Class Quadrajet90 VX;2013;120000;60400;Diesel;Individual;Manual;First Owner
Hyundai Verna CRDi;2008;120000;70950;Diesel;Individual;Manual;Second Owner
Hyundai i20 Asta 1.4 CRDi;2013;120000;90000;Diesel;Individual;Manual;First Owner
Maruti Alto 800 LXI;2014;120000;25000;Petrol;Individual;Manual;Second Owner
Hyundai Verna CRDi;2009;120000;80000;Diesel;Individual;Manual;Second Owner
Maruti Swift Dzire VDI;2014;120000;107143;Diesel;Individual;Manual;Second Owner
Hyundai Santro Xing GL Plus;2012;120000;50000;Petrol;Individual;Manual;Second Owner
Hyundai i10 Magna 1.2 iTech SE;2011;120000;80000;Petrol;Individual;Manual;Second Owner
Maruti Swift Dzire VDi;2008;120000;82000;Diesel;Individual;Manual;Second Owner
Maruti Zen Estilo 1.1 VXI BSIII;2008;120000;70000;Petrol;Individual;Manual;Second Owner
Maruti A-Star Vxi;2009;120000;70000;Petrol;Individual;Manual;Third Owner
Tata Nano Cx BSIV;2012;120000;35000;Petrol;Individual;Manual;Second Owner
Tata Nano Lx;2011;120000;40000;Petrol;Individual;Manual;First Owner
Hyundai i10 Magna 1.2 iTech SE;2012;120000;60000;Petrol;Individual;Manual;Second Owner
Maruti Alto 800 LXI;2012;120000;90000;Petrol;Individual;Manual;Third Owner
Chevrolet Spark 1.0 LT;2011;120000;60000;Petrol;Individual;Manual;First Owner
Ford Figo Diesel Celebration Edition;2013;120000;65000;Diesel;Individual;Manual;First Owner
Maruti Alto LX;2011;120000;40000;Petrol;Individual;Manual;First Owner
Tata Indica Vista Quadrajet LX;2012;120000;80000;Diesel;Individual;Manual;Third Owner
Tata Indica Vista TDI LS;2010;120000;107500;Diesel;Dealer;Manual;First Owner
Tata Indica Vista TDI LS;2013;120000;135000;Diesel;Dealer;Manual;Second Owner
Maruti Alto LXi;2007;120000;43826;Petrol;Dealer;Manual;Second Owner
Maruti Swift VDI BSIV;2007;120000;112880;Diesel;Dealer;Manual;First Owner
Tata Indica Vista Terra Quadrajet 1.3L;2011;120000;90000;Diesel;Individual;Manual;Third Owner
Renault KWID 1.0 RXT Optional;2017;120000;30300;Petrol;Individual;Manual;First Owner
Maruti Swift Dzire VXi;2009;120000;80659;Petrol;Dealer;Manual;First Owner
Chevrolet Aveo 1.4 LS;2008;120000;81324;Petrol;Dealer;Manual;First Owner
Chevrolet Beat PS;2015;120000;50000;Petrol;Individual;Manual;First Owner
Chevrolet Beat PS;2016;120000;25000;Petrol;Individual;Manual;First Owner
Honda Amaze S i-Dtech;2015;120000;66755;Diesel;Dealer;Manual;First Owner
Maruti Swift VXI BSIII;2009;120000;806599;Petrol;Dealer;Manual;First Owner
Maruti Wagon R VXI Minor ABS;2010;120000;50000;Petrol;Individual;Manual;First Owner
Maruti Omni BSIII 8-STR W/ IMMOBILISER;2008;120000;50000;Petrol;Individual;Manual;Second Owner
Maruti Esteem Vxi - BSIII;2006;120000;60000;Petrol;Individual;Manual;Second Owner
Maruti Alto 800 LXI;2015;120000;15000;Petrol;Individual;Manual;Second Owner
Ford Fiesta 1.6 ZXi Leather;2006;130000;83411;Petrol;Individual;Manual;First Owner
Hyundai Santro Xing XL AT eRLX Euro III;2006;130000;100000;Petrol;Individual;Automatic;Third Owner
Ford Fiesta 1.4 Duratec ZXI;2008;130000;100000;Petrol;Individual;Manual;Third Owner
Maruti Alto 800 LXI;2018;130000;35000;Petrol;Individual;Manual;First Owner
Maruti Wagon R VXI BS IV with ABS;2015;130000;100000;Petrol;Individual;Manual;Third Owner
Maruti Alto LX;2010;130000;88000;Petrol;Individual;Manual;Second Owner
Maruti A-Star Vxi;2009;130000;76000;Petrol;Individual;Manual;Second Owner
Ford Figo Diesel Titanium;2010;130000;100000;Diesel;Individual;Manual;Second Owner
Maruti Alto LX;2012;130000;80000;Petrol;Individual;Manual;Second Owner
Maruti 800 EX;2001;130000;30000;Petrol;Individual;Manual;First Owner
